fLength,fSize,fConc,fConc1,fAlpha,fDist,class
58.7548,2.5359,0.425,0.2722,4.992,283.17,1
18.6873,2.4014,0.7262,0.375,34.0054,125.49,1
22.1048,2.5315,0.55,0.2926,9.0091,151.762,1
26.1052,2.5045,0.6228,0.3427,3.9731,219.587,1
83.8514,2.4362,0.4396,0.2692,2.588,221.101,1
98.8556,3.6953,0.0827,0.0431,6.8764,206.388,1
40.1473,2.9432,0.2063,0.1316,25.601,104.575,1
17.2234,2.3747,0.6793,0.3439,2.7355,124.553,1
75.5011,2.9773,0.451,0.2482,1.1556,341.699,1
88.6415,3.5726,0.2403,0.1323,3.1897,347.92,1
41.1136,2.666,0.3344,0.1715,3.559,232.243,1
25.2265,2.8639,0.3844,0.2305,20.2535,160.066,1
30.0762,2.6893,0.2924,0.1564,44.017,124.942,1
32.2107,2.5877,0.3721,0.1873,13.233,170.861,1
23.2925,2.4639,0.5223,0.3729,88.8305,37.3543,1
18.9958,2.4074,0.5558,0.3307,38.043,211.135,1
24.3458,2.4609,0.4498,0.2785,29.107,114.982,1
28.8657,2.5883,0.4542,0.2568,34.7137,129.327,1
37.1197,2.6454,0.3846,0.2432,9.829,155.915,1
21.2333,2.0986,0.7251,0.4104,3.7149,238.689,1
13.0217,2.1123,0.7568,0.4595,54.248,196.793,1
56.4705,3.0824,0.206,0.1146,12.2597,184.893,1
47.76,2.8982,0.1922,0.1005,1.1964,187.651,1
12.9767,2.2443,0.8148,0.567,63.4499,152.363,1
12.9052,2.1477,0.7402,0.3737,46.8979,171.876,1
24.3415,2.586,0.4721,0.2944,17.904,139.935,1
59.4233,3.1318,0.1587,0.0853,10.973,215.284,1
83.9539,3.6747,0.1248,0.0644,5.285,221.993,1
31.7448,2.7973,0.2775,0.1475,13.374,236.918,1
18.3119,2.3865,0.5339,0.3142,74.772,135.392,1
30.9635,2.8552,0.3001,0.1654,4.875,103.958,1
40.2116,2.4871,0.4723,0.259,17.833,151.761,1
31.5877,2.8007,0.2611,0.14,27.155,117.891,1
23.614,2.7235,0.3478,0.1862,33.824,230.732,1
13.0755,2.1222,0.7623,0.434,25.914,247.099,1
24.6542,2.5599,0.4518,0.2493,19.0658,141.979,1
86.4685,3.7818,0.1438,0.0811,0.8473,254.285,1
25.2073,2.3927,0.4413,0.2733,59.5984,146.26,1
68.4131,3.023,0.2418,0.1257,2.9291,300.914,1
24.7546,2.601,0.4637,0.2544,20.6302,166.008,1
23.4266,2.5786,0.4116,0.2309,64.324,212.131,1
55.6335,2.7016,0.3042,0.166,10.4907,127.726,1
99.1508,3.995,0.1123,0.0567,4.199,268.046,1
68.6109,3.0204,0.2786,0.1675,8.918,284.22,1
26.7563,2.4548,0.4667,0.2544,44.479,107.616,1
24.9527,2.3434,0.5533,0.3651,20.728,144.478,1
114.853,2.5145,0.4067,0.2156,5.608,272.997,1
26.4388,2.6439,0.4132,0.2077,3.798,149.753,1
30.4298,3.1836,0.2608,0.1314,1.471,111.585,1
18.9647,2.596,0.3929,0.2471,1.5377,130.626,1
90.9146,3.4884,0.2075,0.1233,7.4612,330.435,1
30.5259,3.0141,0.3388,0.2125,36.426,68.4558,1
19.786,2.3032,0.597,0.3358,5.495,154.585,1
64.3192,3.4539,0.1762,0.0891,7.653,245.097,1
19.5229,2.0952,0.755,0.4297,38.5188,163.473,1
19.7507,2.5092,0.6749,0.3854,6.595,224.148,1
17.4908,2.2175,0.5455,0.2818,68.7191,145.251,1
23.8611,2.5569,0.516,0.2594,3.18,195.938,1
82.9855,3.778,0.1331,0.0749,16.4022,161.758,1
32.6291,3.0324,0.3341,0.1712,0.516,163.489,1
35.4044,2.5746,0.3249,0.1851,21.198,188.521,1
64.3679,3.6926,0.1435,0.0726,3.417,226.762,1
12.9531,2.2822,0.7311,0.4621,69.1684,112.345,1
91.7756,3.0179,0.2294,0.1224,2.4654,283.401,1
30.9558,2.5539,0.3436,0.1746,16.541,211.382,1
29.3066,2.499,0.3772,0.1949,5.041,163.644,1
58.7871,3.3138,0.1947,0.108,6.782,199.855,1
21.6155,2.1055,0.698,0.3882,32.8759,248.647,1
47.4777,3.1276,0.2557,0.1338,13.161,162.981,1
74.6459,3.0366,0.2776,0.1595,1.9633,232.12,1
30.5634,2.5916,0.4661,0.2369,85.6181,61.0844,1
20.1648,2.0737,0.7342,0.3924,65.121,111.006,1
12.1929,2.3128,0.8467,0.674,27.2483,263.954,1
17.1942,2.2695,0.6344,0.4005,64.1895,214.566,1
47.7879,2.939,0.1968,0.1064,8.5086,180.752,1
35.807,3.1178,0.2234,0.1193,8.37,228.451,1
94.9287,3.685,0.1181,0.0707,0.926,284.312,1
91.401,3.9138,0.1552,0.0776,0.809,398.753,1
29.9323,2.5159,0.5213,0.279,8.897,181.006,1
25.0085,2.4914,0.4129,0.221,1.845,147.276,1
44.6155,3.3193,0.1553,0.0784,13.107,163.966,1
35.2422,2.7376,0.3623,0.1857,17.504,172.083,1
13.1758,2.2867,0.8269,0.5504,5.341,146.983,1
53.3458,2.5347,0.5577,0.3285,7.4932,300.907,1
43.4722,3.0976,0.2812,0.1562,26.7377,127.815,1
24.7406,2.3979,0.672,0.438,4.672,169.892,1
20.4671,2.4005,0.493,0.2565,28.2924,158.395,1
96.2068,3.1019,0.2357,0.1325,0.686,317.499,1
57.0031,3.1854,0.1716,0.0897,29.8,158.234,1
31.8057,2.8985,0.3007,0.1598,9.087,214.598,1
36.2882,2.9178,0.313,0.1746,0.1809,211.378,1
13.0433,2.2135,0.7829,0.5168,72.219,202.517,1
34.4834,2.9978,0.3226,0.2055,9.317,163.27,1
34.8593,2.8627,0.2305,0.1255,1.858,141.327,1
20.4089,2.3181,0.601,0.3245,47.069,275.033,1
41.8803,3.006,0.2821,0.1711,5.1208,175.211,1
51.7447,3.1106,0.1837,0.0957,2.643,160.781,1
21.0228,2.567,0.4282,0.2236,22.6203,113.863,1
45.5285,2.8303,0.2749,0.1412,6.511,241.384,1
13.0769,2.1538,0.7649,0.4526,42.603,161.94,1
21.3925,2.1189,0.7148,0.4068,19.2595,187.089,1
24.4736,2.3847,0.5526,0.2825,2.7837,248.274,1
42.134,2.5933,0.3673,0.2079,26.9644,162.403,1
16.1927,2.3711,0.6085,0.334,40.759,205.721,1
23.64,2.2625,0.5738,0.2924,46.9385,159.341,1
36.0699,2.7976,0.2948,0.1602,4.5385,210.714,1
64.2157,2.8654,0.2849,0.1561,3.029,230.071,1
20.5613,2.2999,0.5013,0.2632,59.2812,181.33,1
33.9272,2.6488,0.2626,0.1336,78.655,69.2058,1
30.9633,2.781,0.2467,0.125,15.8283,160.076,1
70.3425,2.913,0.2834,0.1814,9.8881,258.308,1
80.6137,3.0754,0.1925,0.1072,3.298,250.519,1
35.6734,2.8825,0.2844,0.1723,5.955,112.79,1
37.6609,2.5653,0.4245,0.2163,8.74,161.638,1
49.6571,2.827,0.2442,0.1467,9.1405,155.975,1
28.1738,2.2867,0.4548,0.2403,10.8918,261.431,1
70.4444,2.9403,0.2169,0.1199,76.3636,61.9936,1
47.4276,2.6435,0.3591,0.2057,5.442,187.039,1
19.0999,2.3375,0.7816,0.4483,30.3774,148.701,1
39.3534,3.0177,0.2544,0.1359,3.759,190.377,1
29.5348,2.3274,0.4988,0.3082,7.356,204.454,1
20.8203,2.5038,0.4828,0.2618,36.8492,178.539,1
44.9617,3.1425,0.2067,0.1098,60.1912,106.293,1
19.1839,2.5152,0.5191,0.3191,79.2185,66.7467,1
77.0216,3.3844,0.1741,0.0897,1.666,276.477,1
12.8534,2.1508,0.7138,0.4276,22.004,240.216,1
31.1574,2.7388,0.3613,0.198,17.2362,137.699,1
17.9508,2.3962,0.6506,0.3996,34.256,155.183,1
20.9399,2.3253,0.487,0.2577,24.006,159.421,1
18.649,2.1508,0.7562,0.4841,43.5269,181.329,1
58.4743,3.0598,0.2126,0.1076,4.336,250.777,1
94.2532,3.5462,0.1254,0.067,2.6004,184.646,1
91.5599,3.7091,0.186,0.0931,4.861,336.88,1
28.5274,2.8859,0.4746,0.3296,31.4456,115.003,1
27.9558,2.3738,0.5032,0.2854,28.2901,154.563,1
64.3131,2.6196,0.3289,0.2101,6.749,33.7399,1
47.0554,2.3738,0.5243,0.2685,18.374,189.998,1
21.0923,2.1931,0.5513,0.2788,19.3207,164.493,1
40.9029,2.837,0.2809,0.1594,8.222,156.941,1
25.9304,2.5711,0.5074,0.2671,16.0581,165.292,1
24.2846,2.5641,0.4393,0.2715,65.1564,105.288,1
17.6496,2.1553,0.5385,0.2832,32.8778,247.765,1
16.9849,2.2625,0.5683,0.2924,9.527,182.602,1
90.9536,3.4208,0.1655,0.0837,5.7787,278.866,1
20.1648,2.0737,0.7342,0.3924,37.395,203.935,1
13.3406,2.3021,0.793,0.4264,60.8194,192.924,1
23.7559,2.1222,0.7698,0.4415,44.9163,220.776,1
30.3756,2.608,0.3477,0.1837,35.043,146.607,1
19.2617,2.5792,0.4506,0.2516,48.5785,109.587,1
25.6227,2.5397,0.456,0.241,6.37,137.938,1
19.0166,2.1399,0.5362,0.279,68.8859,145.365,1
24.8455,2.2393,0.6859,0.3429,0.0002,120.0,1
25.6714,2.2956,0.4861,0.2962,9.5272,183.312,1
28.5807,2.5257,0.3994,0.2012,8.916,184.079,1
40.5879,2.5017,0.4126,0.2189,15.0058,169.486,1
29.0609,2.8993,0.2547,0.1494,34.427,83.4442,1
102.932,3.0871,0.1735,0.0888,3.194,245.858,1
29.3319,2.5521,0.4067,0.2314,28.4935,170.362,1
61.9038,3.3678,0.1946,0.1018,4.76,245.205,1
64.8397,2.9899,0.2641,0.1448,3.332,256.686,1
156.301,2.9312,0.2343,0.133,4.1613,266.751,1
32.1178,2.316,0.6087,0.3406,8.105,233.072,1
56.9252,2.4786,0.309,0.1744,11.2562,154.353,1
19.4926,2.4232,0.5849,0.3113,83.3232,85.3322,1
35.529,2.4778,0.3927,0.2113,31.3698,108.796,1
48.8413,2.699,0.254,0.143,7.282,256.274,1
66.8423,2.6335,0.3372,0.1802,8.368,272.43,1
14.8072,2.3334,0.8399,0.6752,63.6689,178.037,1
42.169,2.5139,0.3859,0.2251,5.1421,306.684,1
88.4501,3.4555,0.2452,0.1294,0.762,281.995,1
13.2142,2.4133,0.7413,0.388,9.197,184.239,1
80.9042,3.5396,0.2052,0.1168,1.267,316.669,1
30.7238,2.9727,0.2694,0.156,22.799,66.2526,1
30.6386,2.7404,0.28,0.1645,6.753,201.604,1
21.4854,2.4495,0.4654,0.2682,18.0829,210.911,1
34.8842,2.7701,0.3192,0.1604,15.9453,122.241,1
25.6419,2.7206,0.3977,0.2293,25.123,85.673,1
20.2208,2.3201,0.5885,0.2943,38.769,206.788,1
66.1759,3.37,0.2581,0.1389,0.429,360.071,1
59.782,3.2024,0.268,0.1421,8.4866,272.835,1
37.2474,2.8675,0.2822,0.1499,13.753,117.412,1
66.2979,3.2718,0.1797,0.0939,18.905,239.686,1
23.6483,2.702,0.3754,0.1877,3.991,140.171,1
30.367,2.7226,0.3939,0.2112,49.0315,45.5098,1
20.8971,2.3664,0.4774,0.286,6.83,231.83,1
20.2088,2.4997,0.4462,0.2326,11.052,214.072,1
40.7146,2.6405,0.3799,0.2185,1.124,180.4,1
37.2195,2.4141,0.5588,0.3449,11.386,187.722,1
70.0452,3.049,0.3332,0.1871,15.494,285.176,1
62.7922,2.857,0.296,0.1577,0.368,267.629,1
12.8328,2.2368,0.7304,0.3913,62.804,197.934,1
27.4746,2.968,0.3767,0.2201,18.2815,183.368,1
21.6375,2.4564,0.4965,0.2605,21.088,189.92,1
51.4525,2.5072,0.3764,0.2068,1.987,182.448,1
24.3935,2.4683,0.4558,0.2466,31.567,207.265,1
44.139,2.9668,0.3195,0.1624,8.553,201.125,1
22.1163,2.4158,0.499,0.2591,2.0777,208.346,1
13.3386,2.3395,0.8009,0.4645,52.3517,44.6044,1
30.5805,2.6069,0.3239,0.1792,84.0563,85.9233,1
23.3515,2.5496,0.4288,0.2355,7.2523,212.751,1
25.8809,2.633,0.44,0.2643,12.0537,207.218,1
20.2899,2.356,0.5903,0.3282,9.282,198.135,1
48.0501,3.3365,0.2009,0.1044,19.9604,117.139,1
63.0359,3.2057,0.1818,0.0931,1.9109,187.249,1
20.3418,2.5099,0.5039,0.2581,11.572,163.561,1
37.0457,2.781,0.3113,0.1581,3.9171,114.903,1
26.3995,2.5159,0.4634,0.279,1.679,234.77,1
24.0218,2.6812,0.3979,0.2427,12.615,136.947,1
12.9833,2.07,0.7489,0.4298,37.207,239.781,1
40.3744,2.946,0.2446,0.1353,2.4536,201.049,1
28.0975,2.7011,0.3741,0.194,26.735,153.838,1
25.7797,2.4208,0.4782,0.26,55.1534,190.891,1
34.5073,2.4661,0.3863,0.2068,16.189,218.625,1
102.039,4.1355,0.0865,0.0435,6.8092,301.437,1
41.5842,2.9044,0.2928,0.1576,6.377,203.524,1
33.4366,2.6026,0.4644,0.2459,4.5456,236.693,1
22.4411,2.0774,0.7364,0.4393,0.0002,121.004,1
76.9673,3.4226,0.1164,0.0618,8.824,157.748,1
72.8137,3.2667,0.2922,0.1631,12.275,338.84,1
37.7137,2.902,0.3195,0.2074,25.831,143.532,1
13.2086,2.2956,0.8456,0.5696,46.255,188.909,1
82.2445,3.5323,0.1664,0.0862,2.889,247.003,1
63.8088,2.918,0.3092,0.1552,8.966,225.819,1
35.455,2.828,0.2422,0.1226,87.9282,158.725,1
25.9044,2.4354,0.433,0.2294,48.126,175.526,1
87.4763,2.8612,0.2615,0.1507,2.85,250.121,1
41.311,2.702,0.4369,0.2731,0.0339,254.757,1
28.7928,2.6449,0.4236,0.2344,86.9663,26.9984,1
27.8673,2.6212,0.3373,0.1734,21.151,192.59,1
96.883,3.9381,0.1239,0.0646,3.9652,304.103,1
20.1273,2.2695,0.6075,0.3683,8.229,125.329,1
12.5305,2.0314,0.6884,0.3674,49.895,164.832,1
41.4003,3.1413,0.2867,0.1593,8.728,179.317,1
31.4288,2.7547,0.3764,0.2102,5.278,201.887,1
25.7554,2.1508,0.742,0.4064,0.0002,177.88,1
38.8344,2.711,0.3696,0.2072,8.4716,208.873,1
32.2804,2.4735,0.3832,0.2336,20.91,76.2299,1
29.001,3.066,0.3282,0.1826,1.14,193.666,1
21.9551,2.5514,0.4691,0.2542,77.9057,25.8173,1
72.9495,2.9196,0.1998,0.1017,82.1398,106.639,1
48.4012,3.079,0.2443,0.1296,0.839,183.868,1
28.4121,2.2934,0.4784,0.257,10.5692,178.508,1
39.3506,3.0406,0.1767,0.0906,9.66,211.026,1
86.9253,2.9077,0.2375,0.1194,7.553,275.104,1
36.5676,2.8445,0.3104,0.201,15.939,135.915,1
37.1295,2.9335,0.2238,0.1148,1.92,200.622,1
29.6097,2.3608,0.488,0.2636,60.281,246.735,1
103.58,3.8319,0.0616,0.031,3.804,191.968,1
25.5659,2.586,0.3839,0.2166,9.1817,246.247,1
86.7619,2.9991,0.2725,0.1618,5.057,285.249,1
72.173,3.3085,0.2605,0.1507,4.71,324.804,1
29.6226,2.4728,0.4108,0.2138,19.914,108.279,1
124.19,4.6791,0.0327,0.0167,4.3673,232.102,1
34.9976,2.4914,0.4677,0.2597,9.4498,192.551,1
26.9185,2.4023,0.4475,0.2277,20.6971,108.832,1
24.5103,2.0473,0.6996,0.3722,14.1769,106.078,1
88.5482,3.4583,0.2993,0.1624,1.4057,386.992,1
18.0191,2.1492,0.5532,0.2943,43.188,285.059,1
36.4659,2.5058,0.3869,0.2075,12.9854,151.521,1
28.9202,2.4698,0.4373,0.2322,24.9379,176.121,1
34.3872,3.2924,0.2198,0.1217,20.7695,106.629,1
33.3489,2.4346,0.4265,0.2371,43.507,44.9616,1
20.89,2.2601,0.6593,0.3544,37.2203,186.984,1
98.4961,3.6768,0.1526,0.0799,3.663,291.545,1
73.9175,3.0661,0.1992,0.1155,0.772,234.242,1
28.7984,2.7578,0.3546,0.2035,40.71,125.077,1
101.948,3.8649,0.1166,0.0619,0.775,300.311,1
105.399,2.7451,0.2968,0.1718,12.071,237.882,1
12.927,2.2109,0.7385,0.4338,68.723,71.1737,1
53.8114,3.137,0.1597,0.0923,0.035,146.772,1
34.7897,3.3034,0.2606,0.144,29.8189,59.6141,1
33.865,2.5922,0.376,0.1905,3.6166,187.48,1
43.0535,2.7251,0.5179,0.2853,5.984,189.049,1
60.0379,3.0116,0.2736,0.1426,4.4858,241.822,1
81.5248,3.5215,0.2603,0.1332,4.049,374.416,1
46.5362,3.1905,0.2341,0.1216,0.129,256.88,1
33.357,2.5527,0.3221,0.1695,15.405,227.734,1
73.0543,3.1984,0.2223,0.1206,1.1614,296.172,1
18.1158,2.3655,0.6121,0.3384,47.2489,144.116,1
28.972,2.5955,0.533,0.3058,10.5327,162.248,1
23.623,2.2788,0.6474,0.4079,2.525,193.019,1
42.5309,3.0116,0.2278,0.1222,27.4131,250.684,1
106.244,3.8623,0.1054,0.0532,1.464,213.793,1
64.9888,3.4635,0.1675,0.0858,1.798,230.598,1
12.8589,2.0917,0.7287,0.417,1.0099,143.774,1
43.9906,2.5192,0.3026,0.1588,17.384,211.328,1
52.1461,2.8666,0.2828,0.1638,3.901,187.496,1
21.9338,2.3424,0.6045,0.3568,18.299,159.7,1
22.1866,2.1931,0.6026,0.3301,74.228,152.047,1
39.997,2.8454,0.334,0.2206,1.809,157.242,1
19.6801,2.4871,0.43,0.2362,35.5121,183.705,1
19.9926,2.4354,0.5725,0.3982,12.7719,193.893,1
34.9637,2.7709,0.3441,0.1856,8.146,175.827,1
25.4768,2.3404,0.6804,0.3493,5.854,171.21,1
46.2731,3.4422,0.2648,0.1476,2.9498,250.51,1
20.5417,2.2095,0.6296,0.3796,20.5917,149.561,1
22.0159,2.444,0.4173,0.2104,55.1338,229.633,1
23.0525,2.3838,0.438,0.2624,54.648,129.674,1
98.6242,3.8574,0.1449,0.0731,1.421,365.382,1
92.7295,3.1638,0.2373,0.1396,0.9268,319.048,1
25.1366,2.4014,0.3929,0.2163,42.499,189.033,1
31.5911,2.4526,0.5044,0.2981,27.1412,182.47,1
98.6723,3.8953,0.1425,0.0715,0.6137,362.341,1
64.3547,3.3717,0.1576,0.0797,4.575,213.57,1
42.97,2.8672,0.2105,0.1093,18.49,221.505,1
61.4825,2.9063,0.3102,0.1632,3.9773,147.172,1
23.9751,2.3454,0.4831,0.246,4.1125,237.022,1
35.7114,2.9378,0.3785,0.2349,3.7819,176.297,1
78.5819,3.0137,0.1531,0.079,4.067,199.864,1
21.2638,2.2613,0.4822,0.2603,10.85,158.968,1
24.4936,2.4191,0.3657,0.2,46.942,186.32,1
83.4741,3.2782,0.2382,0.1547,2.2974,344.005,1
43.9963,3.0822,0.1986,0.1163,19.6508,170.221,1
167.067,2.9135,0.316,0.1959,4.486,302.995,1
23.4477,2.2148,0.5793,0.314,4.141,60.6831,1
109.231,3.2253,0.1994,0.1104,4.305,278.132,1
27.3827,2.5521,0.3619,0.1837,7.913,122.836,1
38.471,2.3636,0.6147,0.3615,7.346,207.761,1
37.1411,2.9269,0.2331,0.1189,11.7059,196.991,1
49.7386,3.2368,0.2041,0.1052,5.3168,246.114,1
20.4916,2.4433,0.6018,0.4162,23.468,72.9904,1
62.2088,2.972,0.2272,0.12,1.9962,239.387,1
37.6892,2.5977,0.3384,0.1806,11.546,215.244,1
20.2926,2.2923,0.6582,0.3852,28.986,123.604,1
19.7069,2.2765,0.5608,0.3148,46.1416,138.787,1
74.7955,3.1239,0.2865,0.1485,7.468,268.526,1
25.464,2.5428,0.5186,0.3424,16.026,221.048,1
38.3392,2.6928,0.3266,0.1957,7.116,241.747,1
34.1079,3.5937,0.2444,0.1306,57.0274,61.7338,1
31.5085,2.7619,0.4291,0.2569,20.8552,182.597,1
13.1944,2.1351,0.7839,0.4652,39.912,121.681,1
86.0891,4.1786,0.096,0.0501,2.7219,238.499,1
25.6849,2.5321,0.3877,0.2159,38.883,143.995,1
49.7582,3.0594,0.2372,0.1234,7.6551,215.967,1
48.4646,3.2146,0.2508,0.1412,13.183,270.749,1
12.7986,2.1446,0.724,0.3978,52.052,227.107,1
17.1061,2.1553,0.5664,0.3252,0.3185,181.688,1
30.1806,2.4771,0.3833,0.195,11.423,86.461,1
40.7668,2.6444,0.2721,0.1395,6.235,181.17,1
95.5716,3.3524,0.2212,0.1224,0.239,354.169,1
29.1755,2.9664,0.2788,0.1745,34.4518,100.674,1
35.0447,2.8814,0.2457,0.1281,2.232,219.478,1
34.5169,2.5999,0.4271,0.2425,0.408,132.696,1
33.1065,2.3191,0.4221,0.2182,4.0681,137.834,1
25.5138,2.5658,0.4293,0.216,13.114,200.452,1
64.8518,3.0959,0.2438,0.1504,4.86,232.168,1
70.3414,3.4073,0.1425,0.0797,0.517,199.846,1
20.2305,2.3118,0.6098,0.3341,9.4872,183.006,1
40.0247,2.7517,0.1949,0.1054,8.8581,201.67,1
47.2023,3.0394,0.232,0.1256,0.966,176.844,1
44.1526,2.7312,0.3305,0.1736,10.434,219.609,1
90.2691,3.9116,0.1438,0.0743,1.1204,269.286,1
36.6553,2.9872,0.2492,0.1323,5.529,220.151,1
19.5865,2.5152,0.6412,0.3527,39.323,27.6118,1
33.3917,2.4886,0.4578,0.2549,4.116,117.805,1
80.7442,3.5449,0.1038,0.0583,3.0108,207.337,1
75.4781,3.2227,0.1743,0.0919,10.617,222.78,1
75.0145,3.4029,0.1748,0.09,2.5791,305.393,1
31.5068,2.8932,0.3107,0.1656,7.6688,120.824,1
19.0832,2.2999,0.5163,0.2882,20.1371,151.706,1
56.5232,2.732,0.4004,0.2382,17.637,104.8,1
46.8646,3.0394,0.3014,0.174,2.896,206.474,1
88.2417,3.2518,0.2117,0.1246,2.231,244.211,1
74.0348,2.8943,0.2972,0.1792,3.783,280.264,1
40.905,3.008,0.1944,0.1144,18.15,175.542,1
23.2612,2.3201,0.6268,0.3756,4.383,185.821,1
37.1736,2.7589,0.4425,0.3145,5.941,201.227,1
74.3186,3.4752,0.1624,0.0892,1.714,248.998,1
71.2079,2.7423,0.2661,0.1475,47.6489,198.509,1
25.6981,2.7899,0.3358,0.1906,32.8826,138.13,1
13.2236,2.2055,0.7913,0.4766,81.7865,226.89,1
20.6112,2.2911,0.4962,0.2788,65.696,71.1747,1
36.0227,2.7427,0.2658,0.142,7.4337,203.547,1
30.6591,2.9798,0.329,0.1692,13.0647,215.955,1
19.2233,2.4495,0.5364,0.3179,22.3356,224.071,1
26.8118,2.6968,0.4342,0.2503,36.997,168.176,1
56.2298,2.6826,0.2326,0.1194,39.096,158.835,1
25.2379,2.4609,0.3945,0.237,27.762,108.211,1
30.7181,2.4479,0.3565,0.1872,32.599,66.5004,1
87.028,2.9759,0.1903,0.1052,10.7918,282.555,1
29.3684,2.5218,0.3729,0.194,1.9453,225.001,1
24.7542,2.6693,0.4304,0.2666,26.265,202.563,1
82.6882,3.8316,0.0984,0.058,2.312,210.328,1
17.7026,2.4289,0.6108,0.3408,26.508,150.667,1
35.6953,3.5252,0.2396,0.129,72.171,38.6618,1
22.0402,2.1508,0.7208,0.3781,14.3447,133.44,1
30.7475,2.6493,0.3094,0.1693,12.5618,195.927,1
56.066,2.8672,0.2553,0.1297,3.0836,223.244,1
20.7037,2.1717,0.7811,0.4815,10.772,97.6663,1
86.9585,3.5415,0.2245,0.141,0.296,341.694,1
18.3117,2.437,0.5448,0.3309,59.809,159.305,1
26.6552,2.8017,0.3899,0.2013,19.8988,203.361,1
26.4344,2.2889,0.4216,0.2134,32.911,213.328,1
48.35,2.7597,0.3165,0.1835,18.51,202.225,1
67.8749,3.4861,0.2237,0.1135,0.505,174.157,1
21.4908,2.5058,0.4368,0.2449,62.628,246.336,1
27.3066,2.6968,0.3337,0.1779,28.615,47.6641,1
18.0214,2.1732,0.5772,0.2919,0.8832,184.309,1
23.0503,2.7122,0.4694,0.2667,24.726,48.9024,1
36.8508,2.7697,0.3195,0.1878,60.3897,80.0757,1
35.5954,2.3729,0.6695,0.4386,79.849,152.483,1
18.1716,2.586,0.5344,0.3074,33.8273,162.521,1
49.8634,3.0026,0.1988,0.1009,3.4411,129.146,1
22.6502,2.8648,0.4096,0.23,59.259,70.2412,1
24.6345,2.3304,0.3832,0.1939,54.418,258.638,1
83.8945,3.2446,0.201,0.1062,8.8829,246.751,1
25.3624,2.6721,0.5106,0.2628,0.964,193.931,1
18.2541,2.233,0.5848,0.3421,57.6026,88.8134,1
28.3754,2.7616,0.2892,0.1636,21.8522,105.861,1
61.0713,2.8854,0.2904,0.1556,11.987,248.871,1
62.4718,3.3569,0.1279,0.0653,6.668,255.422,1
31.4759,2.8439,0.3481,0.2271,40.964,177.735,1
90.5566,3.5124,0.2001,0.1292,1.9149,331.586,1
35.2793,2.8831,0.3534,0.18,15.2584,205.474,1
53.3643,2.9289,0.2179,0.1125,11.5856,181.76,1
20.0401,2.6258,0.3527,0.1811,65.186,128.342,1
47.7753,3.393,0.1663,0.0896,3.237,171.772,1
44.6576,3.0883,0.2562,0.1302,22.7661,157.969,1
18.0444,2.3139,0.6117,0.3471,26.162,138.586,1
138.252,2.7226,0.2936,0.1487,45.867,188.461,1
74.6311,3.1666,0.1417,0.0787,28.3058,78.5164,1
26.8582,2.5079,0.4161,0.2345,17.677,154.531,1
25.4578,2.4417,0.5606,0.3309,3.363,158.25,1
88.0004,3.4222,0.1963,0.1152,5.397,355.599,1
95.6302,2.4983,0.4317,0.2492,18.4507,278.219,1
67.2561,3.3872,0.1915,0.0986,4.6353,265.661,1
51.1771,3.3264,0.2349,0.1323,1.203,178.254,1
21.6496,2.3646,0.5313,0.27,89.6251,111.015,1
49.0423,2.9165,0.2691,0.1461,2.183,210.43,1
44.2198,3.2393,0.2271,0.115,22.582,166.366,1
77.0202,3.9439,0.1039,0.0524,2.8361,232.458,1
62.888,3.3576,0.173,0.0893,1.3687,207.247,1
46.4395,2.8879,0.2485,0.1366,2.4723,200.269,1
29.4022,2.7604,0.4236,0.237,3.0127,139.403,1
25.6488,2.6212,0.3541,0.2022,24.9539,162.975,1
46.7713,2.9523,0.2489,0.1412,6.4139,211.961,1
83.3045,3.0953,0.2128,0.124,1.494,300.26,1
51.2309,2.7003,0.4128,0.2124,10.5101,172.602,1
33.8598,3.0073,0.2901,0.1568,8.9398,111.115,1
38.2504,2.6651,0.3546,0.1827,7.4414,194.934,1
56.4465,3.3718,0.1402,0.0724,64.0988,216.986,1
95.3181,3.7552,0.1783,0.0964,5.0683,290.643,1
45.3582,2.7997,0.2331,0.1261,41.4223,252.418,1
24.4584,2.3375,0.492,0.3011,54.494,189.483,1
62.1435,3.3834,0.1708,0.0904,7.926,223.007,1
36.6822,2.7308,0.2714,0.1422,9.2874,140.928,1
50.7703,2.9581,0.2522,0.1415,4.232,169.495,1
23.2702,2.4005,0.5686,0.3201,20.9345,94.6289,1
92.0265,3.8482,0.136,0.0682,1.0326,299.341,1
28.2704,2.5682,0.3892,0.2122,11.4878,126.977,1
25.8767,2.2279,0.5503,0.2929,27.242,147.698,1
12.8589,2.1945,0.7348,0.3738,28.704,87.6656,1
13.3057,2.3086,0.8059,0.4889,66.476,208.31,1
34.4321,2.4654,0.4075,0.2277,80.2965,71.5326,1
95.5063,3.7743,0.1688,0.0948,2.627,314.004,1
91.613,3.125,0.168,0.0844,0.019,243.675,1
76.763,2.7016,0.3658,0.2256,6.853,218.788,1
33.4439,3.0013,0.2742,0.16,5.6137,241.962,1
13.3605,2.1833,0.7934,0.4033,43.485,230.569,1
18.1377,2.2041,0.5875,0.3219,63.186,167.928,1
21.7295,2.4997,0.443,0.2263,46.5411,211.03,1
20.3722,2.2844,0.4519,0.2312,50.6061,175.856,1
23.5549,2.2055,0.729,0.3769,40.3261,160.59,1
91.3305,3.3411,0.1573,0.096,1.653,257.152,1
